element_id,element_classes,element_target,target_url,page_url,dvce_created_tstamp
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2019/ASCA-Level-1-Strength-and-Conditioning-Course-29-to-31-Mar-2019#,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2019/ASCA-Level-1-Strength-and-Conditioning-Course-29-to-31-Mar-2019,2020-01-01 02:04:11.370000
ctl22_repeater_innerRepeater_4_innerRepeater_1_link_1,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Singapore-Coach-Excellence-Programme-SG-Coach/SG-Coach-Level-1-Theory-Programme,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/basic-sports-science-course,2020-01-01 02:14:16.765000
ctl20_ctl02_repeater_link_4,[],,https://www.sportsingapore.gov.sg/Partner-with-Us,https://www.sportsingapore.gov.sg/,2020-01-01 03:03:30.075000
,[],,https://www.wada-ama.org/en/what-we-do/education-awareness/tools-for-stakeholders/coachtrue,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/Continuing-Coach-Development/Coaching-Learning-Resources,2020-01-01 03:53:34.723000
,[],_blank,https://sportshub.spydus.com.sg/cgi-bin/spydus.exe/MSGTRN/OPAC/HOME,https://www.sportsingapore.gov.sg/sports-education/singapore-sports-hub-library,2020-01-01 04:21:37.735000
,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/continuing-coach-development/continuing-coaching-education,2020-01-01 07:02:03.317000
,[],,https://www.rp.edu.sg/ace/short-course/Detail/sg-coach-theory--level-1-(SG-Coach),https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/singapore-coach-excellence-programme-sg-coach/sg-coach-level-1-theory-programme,2020-01-01 08:06:39.058000
,[],_blank,https://www.volunteer.sg/,https://www.sportsingapore.gov.sg/SportCares,2020-01-01 08:45:18.716000
,"[""menu-toggle"",""full""]",,https://www.sportsingapore.gov.sg/#,https://www.sportsingapore.gov.sg/,2020-01-01 09:14:22.800000
content_0_repeater_moreLink_0,"[""icn-readmore""]",,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute/High-Performance-Sport/High-Performance-Planning,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute/High-Performance-Sport,2020-01-01 09:14:57.438000
,[],_blank,https://www.myactivesg.com/,https://www.sportsingapore.gov.sg/,2020-01-01 09:15:09.247000
content_0_ctl03_repeater_ItemLink_9,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Course-Calendar/2020/Sports-Taping-Workshop,https://www.sportsingapore.gov.sg/athletes-coaches/course-calendar,2020-01-01 09:17:23.886000
ctl24_repeater_link_1,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute,https://www.sportsingapore.gov.sg/Athletes-Coaches/Singapore-Sport-Institute/High-Performance-Sport/High-Performance-Planning,2020-01-01 09:18:18.743000
ctl20_ctl02_repeater_ctl00_1_ctl00_2_link_0,[],,https://www.sportsingapore.gov.sg/Athletes-Coaches/Coaches-Corner/National-Registry-of-Coaches,https://www.sportsingapore.gov.sg/athletes-coaches/coaches-corner/national-registry-of-coaches/usage-of-sports-hub-library,2020-01-01 09:36:34.356000
ctl22_repeater_link_3,[],,https://www.sportsingapore.gov.sg/About-Us/Our-Board-Members,https://www.sportsingapore.gov.sg/About-Us/Our-Corporate-Structure,2020-01-01 09:48:49.034000
